SURFACEFORM,TOKENURN,CTSURN,SENTENCEURN,SEQ,POS,HEAD,LEMMA
ἄκων,urn:cite:fuSyntax:0085003tokens.2896885_9,urn:cts:greekLit:tlg0085.tlg003.fuSyn:19.3,urn:cite:fuSyntax:0085003sentences.2896885,125,n-s---mn-,urn:cite:fuSyntax:0085003tokens.2896885_12,ἄκων1
χαλκεύμασι,urn:cite:fuSyntax:0085003tokens.2896885_11,urn:cts:greekLit:tlg0085.tlg003.fuSyn:19.5,urn:cite:fuSyntax:0085003sentences.2896885,127,n-p---nd-,urn:cite:fuSyntax:0085003tokens.2896885_12,χάλκευμα1
πάγῳ,urn:cite:fuSyntax:0085003tokens.2896885_15,urn:cts:greekLit:tlg0085.tlg003.fuSyn:20.4,urn:cite:fuSyntax:0085003sentences.2896885,131,n-s---md-,urn:cite:fuSyntax:0085003tokens.2896885_12,πᾶγοσ
φωνὴν,urn:cite:fuSyntax:0085003tokens.2896885_19,urn:cts:greekLit:tlg0085.tlg003.fuSyn:21.4,urn:cite:fuSyntax:0085003sentences.2896885,135,n-s---fa-,urn:cite:fuSyntax:0085003tokens.2896885_21,φωνή1
μορφὴν,urn:cite:fuSyntax:0085003tokens.2896885_23,urn:cts:greekLit:tlg0085.tlg003.fuSyn:21.8,urn:cite:fuSyntax:0085003sentences.2896885,139,n-s---fa-,urn:cite:fuSyntax:0085003tokens.2896885_21,μορφή1
βροτῶν,urn:cite:fuSyntax:0085003tokens.2896885_24,urn:cts:greekLit:tlg0085.tlg003.fuSyn:21.9,urn:cite:fuSyntax:0085003sentences.2896885,140,n-p---mg-,urn:cite:fuSyntax:0085003tokens.2896885_22,βροτόσ
ἡλίου,urn:cite:fuSyntax:0085003tokens.2896885_29,urn:cts:greekLit:tlg0085.tlg003.fuSyn:22.5,urn:cite:fuSyntax:0085003sentences.2896885,145,n-s---mg-,urn:cite:fuSyntax:0085003tokens.2896885_31,ἥλιοσ
φλογὶ,urn:cite:fuSyntax:0085003tokens.2896885_31,urn:cts:greekLit:tlg0085.tlg003.fuSyn:22.7,urn:cite:fuSyntax:0085003sentences.2896885,147,n-s---fd-,urn:cite:fuSyntax:0085003tokens.2896885_33,φλόξ
χροιᾶς,urn:cite:fuSyntax:0085003tokens.2896885_32,urn:cts:greekLit:tlg0085.tlg003.fuSyn:23.1,urn:cite:fuSyntax:0085003sentences.2896885,148,n-s---fg-,urn:cite:fuSyntax:0085003tokens.2896885_34,χροιά1
ἄνθος,urn:cite:fuSyntax:0085003tokens.2896885_34,urn:cts:greekLit:tlg0085.tlg003.fuSyn:23.3,urn:cite:fuSyntax:0085003sentences.2896885,150,n-s---na-,urn:cite:fuSyntax:0085003tokens.2896885_33,ἄνθοσ
νὺξ,urn:cite:fuSyntax:0085003tokens.2896886_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:24.3,urn:cite:fuSyntax:0085003sentences.2896886,157,n-s---fn-,urn:cite:fuSyntax:0085003tokens.2896886_7,νύξ1
φάος,urn:cite:fuSyntax:0085003tokens.2896886_8,urn:cts:greekLit:tlg0085.tlg003.fuSyn:24.5,urn:cite:fuSyntax:0085003sentences.2896886,159,n-s---na-,urn:cite:fuSyntax:0085003tokens.2896886_7,φάοσ
πάχνην,urn:cite:fuSyntax:0085003tokens.2896886_10,urn:cts:greekLit:tlg0085.tlg003.fuSyn:25.1,urn:cite:fuSyntax:0085003sentences.2896886,161,n-s---fa-,urn:cite:fuSyntax:0085003tokens.2896886_14,πάχνη1
ἥλιος,urn:cite:fuSyntax:0085003tokens.2896886_13,urn:cts:greekLit:tlg0085.tlg003.fuSyn:25.4,urn:cite:fuSyntax:0085003sentences.2896886,164,n-s---mn-,urn:cite:fuSyntax:0085003tokens.2896886_14,ἥλιοσ
ἀχθηδὼν,urn:cite:fuSyntax:0085003tokens.2896887_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:26.5,urn:cite:fuSyntax:0085003sentences.2896887,172,n-s---fn-,urn:cite:fuSyntax:0085003tokens.2896887_7,ἀχθηδών1
τρόπου,urn:cite:fuSyntax:0085003tokens.2896889_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:28.5,urn:cite:fuSyntax:0085003sentences.2896889,188,n-s---mg-,urn:cite:fuSyntax:0085003tokens.2896889_2,τρόποσ
θεὸς,urn:cite:fuSyntax:0085003tokens.2896890_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:29.1,urn:cite:fuSyntax:0085003sentences.2896890,190,n-s---mn-,urn:cite:fuSyntax:0085003tokens.2896890_9,θεόσ
θεῶν,urn:cite:fuSyntax:0085003tokens.2896890_2,urn:cts:greekLit:tlg0085.tlg003.fuSyn:29.2,urn:cite:fuSyntax:0085003sentences.2896890,191,n-p---mg-,urn:cite:fuSyntax:0085003tokens.2896890_6,θεόσ
χόλον,urn:cite:fuSyntax:0085003tokens.2896890_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:29.6,urn:cite:fuSyntax:0085003sentences.2896890,195,n-s---ma-,urn:cite:fuSyntax:0085003tokens.2896890_5,χόλοσ
βροτοῖσι,urn:cite:fuSyntax:0085003tokens.2896890_7,urn:cts:greekLit:tlg0085.tlg003.fuSyn:30.1,urn:cite:fuSyntax:0085003sentences.2896890,196,n-p---md-,urn:cite:fuSyntax:0085003tokens.2896890_9,βροτόσ
τιμὰς,urn:cite:fuSyntax:0085003tokens.2896890_8,urn:cts:greekLit:tlg0085.tlg003.fuSyn:30.2,urn:cite:fuSyntax:0085003sentences.2896890,197,n-p---fa-,urn:cite:fuSyntax:0085003tokens.2896890_9,τιμή1
δίκης,urn:cite:fuSyntax:0085003tokens.2896890_11,urn:cts:greekLit:tlg0085.tlg003.fuSyn:30.5,urn:cite:fuSyntax:0085003sentences.2896890,200,n-s---fg-,urn:cite:fuSyntax:0085003tokens.2896890_10,δίκη1
πέτραν,urn:cite:fuSyntax:0085003tokens.2896891_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:31.6,urn:cite:fuSyntax:0085003sentences.2896891,207,n-s---fa-,urn:cite:fuSyntax:0085003tokens.2896891_5,πέτρα1
γόνυ,urn:cite:fuSyntax:0085003tokens.2896891_13,urn:cts:greekLit:tlg0085.tlg003.fuSyn:32.7,urn:cite:fuSyntax:0085003sentences.2896891,214,n-s---na-,urn:cite:fuSyntax:0085003tokens.2896891_12,γόνυ1
ὀδυρμοὺς,urn:cite:fuSyntax:0085003tokens.2896892_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:33.3,urn:cite:fuSyntax:0085003sentences.2896892,218,n-p---ma-,urn:cite:fuSyntax:0085003tokens.2896892_4,ὀδυρμόσ
γόους,urn:cite:fuSyntax:0085003tokens.2896892_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:33.5,urn:cite:fuSyntax:0085003sentences.2896892,220,n-p---ma-,urn:cite:fuSyntax:0085003tokens.2896892_4,γόοσ
Διὸς,urn:cite:fuSyntax:0085003tokens.2896893_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:34.3,urn:cite:fuSyntax:0085003sentences.2896893,224,n-s---mg-,urn:cite:fuSyntax:0085003tokens.2896893_4,Ζεύσ
φρένες,urn:cite:fuSyntax:0085003tokens.2896893_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:34.6,urn:cite:fuSyntax:0085003sentences.2896893,227,n-p---fn-,urn:cite:fuSyntax:0085003tokens.2896893_0,φρήν1
θεοῖς,urn:cite:fuSyntax:0085003tokens.2896896_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:37.3,urn:cite:fuSyntax:0085003sentences.2896896,247,n-p---md-,urn:cite:fuSyntax:0085003tokens.2896896_4,θεόσ
θεόν,urn:cite:fuSyntax:0085003tokens.2896896_7,urn:cts:greekLit:tlg0085.tlg003.fuSyn:37.7,urn:cite:fuSyntax:0085003sentences.2896896,251,n-s---ma-,urn:cite:fuSyntax:0085003tokens.2896896_6,θεόσ
γέρας,urn:cite:fuSyntax:0085003tokens.2896896_14,urn:cts:greekLit:tlg0085.tlg003.fuSyn:38.6,urn:cite:fuSyntax:0085003sentences.2896896,258,n-s---na-,urn:cite:fuSyntax:0085003tokens.2896896_13,γέρασ
ὁμιλία,urn:cite:fuSyntax:0085003tokens.2896897_7,urn:cts:greekLit:tlg0085.tlg003.fuSyn:39.7,urn:cite:fuSyntax:0085003sentences.2896897,266,n-s---fn-,urn:cite:fuSyntax:0085003tokens.2896897_6,ὁμιλία1
πατρὸς,urn:cite:fuSyntax:0085003tokens.2896899_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:40.6,urn:cite:fuSyntax:0085003sentences.2896899,273,n-s---mg-,urn:cite:fuSyntax:0085003tokens.2896899_5,πατήρ1
λόγων,urn:cite:fuSyntax:0085003tokens.2896899_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:40.7,urn:cite:fuSyntax:0085003sentences.2896899,274,n-p---mg-,urn:cite:fuSyntax:0085003tokens.2896899_1,λόγοσ
θράσους,urn:cite:fuSyntax:0085003tokens.2896901_7,urn:cts:greekLit:tlg0085.tlg003.fuSyn:42.7,urn:cite:fuSyntax:0085003sentences.2896901,290,n-s---ng-,urn:cite:fuSyntax:0085003tokens.2896901_8,θράσοσ
ἄκος,urn:cite:fuSyntax:0085003tokens.2896902_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:43.1,urn:cite:fuSyntax:0085003sentences.2896902,293,n-s---nn-,urn:cite:fuSyntax:0085003tokens.2896902_0,ἄκοσ
μηδὲν,urn:cite:fuSyntax:0085003tokens.2896903_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:44.2,urn:cite:fuSyntax:0085003sentences.2896903,302,n-s---na-,urn:cite:fuSyntax:0085003tokens.2896903_5,μηδείσ
χειρωναξία,urn:cite:fuSyntax:0085003tokens.2896904_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:45.4,urn:cite:fuSyntax:0085003sentences.2896904,311,n-s---fn-,urn:cite:fuSyntax:0085003tokens.2896904_0,χειρωναξία1
πόνων,urn:cite:fuSyntax:0085003tokens.2896906_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:46.5,urn:cite:fuSyntax:0085003sentences.2896906,317,n-p---mg-,urn:cite:fuSyntax:0085003tokens.2896906_10,πόνοσ
λόγῳ,urn:cite:fuSyntax:0085003tokens.2896906_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:46.9,urn:cite:fuSyntax:0085003sentences.2896906,321,n-s---md-,urn:cite:fuSyntax:0085003tokens.2896906_3,λόγοσ
τέχνη,urn:cite:fuSyntax:0085003tokens.2896906_11,urn:cts:greekLit:tlg0085.tlg003.fuSyn:47.6,urn:cite:fuSyntax:0085003sentences.2896906,327,n-s---fn-,urn:cite:fuSyntax:0085003tokens.2896906_0,τέχνη1
θεοῖσι,urn:cite:fuSyntax:0085003tokens.2896908_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:49.4,urn:cite:fuSyntax:0085003sentences.2896908,339,n-p---md-,urn:cite:fuSyntax:0085003tokens.2896908_5,θεόσ
Διός,urn:cite:fuSyntax:0085003tokens.2896909_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:50.6,urn:cite:fuSyntax:0085003sentences.2896909,347,n-s---mg-,urn:cite:fuSyntax:0085003tokens.2896909_5,Ζεύσ
δεσμὰ,urn:cite:fuSyntax:0085003tokens.2896911_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:52.4,urn:cite:fuSyntax:0085003sentences.2896911,358,n-p---na-,urn:cite:fuSyntax:0085003tokens.2896911_5,δεσμόσ
πατήρ,urn:cite:fuSyntax:0085003tokens.2896911_12,urn:cts:greekLit:tlg0085.tlg003.fuSyn:53.6,urn:cite:fuSyntax:0085003sentences.2896911,366,n-s---mn-,urn:cite:fuSyntax:0085003tokens.2896911_11,πατήρ1
ψάλια,urn:cite:fuSyntax:0085003tokens.2896912_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:54.4,urn:cite:fuSyntax:0085003sentences.2896912,371,n-p---na-,urn:cite:fuSyntax:0085003tokens.2896912_5,ψάλιον1
χερσὶν,urn:cite:fuSyntax:0085003tokens.2896913_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:55.4,urn:cite:fuSyntax:0085003sentences.2896913,378,n-p---fd-,urn:cite:fuSyntax:0085003tokens.2896913_3,χείρ1
σθένει,urn:cite:fuSyntax:0085003tokens.2896913_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:55.6,urn:cite:fuSyntax:0085003sentences.2896913,380,n-s---nd-,urn:cite:fuSyntax:0085003tokens.2896913_8,σθένοσ
ῥαιστῆρι,urn:cite:fuSyntax:0085003tokens.2896913_7,urn:cts:greekLit:tlg0085.tlg003.fuSyn:56.1,urn:cite:fuSyntax:0085003sentences.2896913,381,n-s---md-,urn:cite:fuSyntax:0085003tokens.2896913_8,ῥαιστήρ1
πέτραις,urn:cite:fuSyntax:0085003tokens.2896913_12,urn:cts:greekLit:tlg0085.tlg003.fuSyn:56.6,urn:cite:fuSyntax:0085003sentences.2896913,386,n-p---fd-,urn:cite:fuSyntax:0085003tokens.2896913_11,πέτρα1
τοὔργον,urn:cite:fuSyntax:0085003tokens.2896914_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:57.5,urn:cite:fuSyntax:0085003sentences.2896914,392,n-s---nn-,urn:cite:fuSyntax:0085003tokens.2896914_4,ἔργον1
πόρον,urn:cite:fuSyntax:0085003tokens.2896916_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:59.6,urn:cite:fuSyntax:0085003sentences.2896916,408,n-s---ma-,urn:cite:fuSyntax:0085003tokens.2896916_3,πόροσ
ὠλένη,urn:cite:fuSyntax:0085003tokens.2896917_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:60.4,urn:cite:fuSyntax:0085003sentences.2896917,413,n-s---fn-,urn:cite:fuSyntax:0085003tokens.2896917_1,ὠλένη1
σοφιστὴς,urn:cite:fuSyntax:0085003tokens.2896918_9,urn:cts:greekLit:tlg0085.tlg003.fuSyn:62.2,urn:cite:fuSyntax:0085003sentences.2896918,424,n-s---mn-,urn:cite:fuSyntax:0085003tokens.2896918_10,σοφιστήσ
Διὸς,urn:cite:fuSyntax:0085003tokens.2896918_11,urn:cts:greekLit:tlg0085.tlg003.fuSyn:62.4,urn:cite:fuSyntax:0085003sentences.2896918,426,n-s---mg-,urn:cite:fuSyntax:0085003tokens.2896918_12,Ζεύσ
σφηνὸς,urn:cite:fuSyntax:0085003tokens.2896920_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:64.3,urn:cite:fuSyntax:0085003sentences.2896920,439,n-s---mg-,urn:cite:fuSyntax:0085003tokens.2896920_5,σφήν1
γνάθον,urn:cite:fuSyntax:0085003tokens.2896920_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:64.5,urn:cite:fuSyntax:0085003sentences.2896920,441,n-s---fa-,urn:cite:fuSyntax:0085003tokens.2896920_8,γνάθοσ
στέρνων,urn:cite:fuSyntax:0085003tokens.2896920_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:65.1,urn:cite:fuSyntax:0085003sentences.2896920,442,n-p---ng-,urn:cite:fuSyntax:0085003tokens.2896920_7,στέρνον1
Προμηθεῦ,urn:cite:fuSyntax:0085003tokens.2896921_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:66.3,urn:cite:fuSyntax:0085003sentences.2896921,449,n-s---mv-,urn:cite:fuSyntax:0085003tokens.2896921_6,Προμηθεύσ
πόνων,urn:cite:fuSyntax:0085003tokens.2896921_7,urn:cts:greekLit:tlg0085.tlg003.fuSyn:66.7,urn:cite:fuSyntax:0085003sentences.2896921,453,n-p---mg-,urn:cite:fuSyntax:0085003tokens.2896921_6,πόνοσ
Διός,urn:cite:fuSyntax:0085003tokens.2896922_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:67.6,urn:cite:fuSyntax:0085003sentences.2896922,460,n-s---mg-,urn:cite:fuSyntax:0085003tokens.2896922_8,Ζεύσ
θέαμα,urn:cite:fuSyntax:0085003tokens.2896924_2,urn:cts:greekLit:tlg0085.tlg003.fuSyn:69.2,urn:cite:fuSyntax:0085003sentences.2896924,473,n-s---na-,urn:cite:fuSyntax:0085003tokens.2896924_1,θέαμα1
ὄμμασιν,urn:cite:fuSyntax:0085003tokens.2896924_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:69.4,urn:cite:fuSyntax:0085003sentences.2896924,475,n-p---nd-,urn:cite:fuSyntax:0085003tokens.2896924_3,ὄμμα1
πλευραῖς,urn:cite:fuSyntax:0085003tokens.2896926_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:71.3,urn:cite:fuSyntax:0085003sentences.2896926,485,n-p---fd-,urn:cite:fuSyntax:0085003tokens.2896926_2,πλευρά1
μασχαλιστῆρας,urn:cite:fuSyntax:0085003tokens.2896926_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:71.4,urn:cite:fuSyntax:0085003sentences.2896926,486,n-p---ma-,urn:cite:fuSyntax:0085003tokens.2896926_5,μασχαλιστήρ1
ἀνάγκη,urn:cite:fuSyntax:0085003tokens.2896927_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:72.3,urn:cite:fuSyntax:0085003sentences.2896927,491,n-s---fn-,urn:cite:fuSyntax:0085003tokens.2896927_0,ἀνάγκη1
μηδὲν,urn:cite:fuSyntax:0085003tokens.2896927_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:72.5,urn:cite:fuSyntax:0085003sentences.2896927,493,n-s---na-,urn:cite:fuSyntax:0085003tokens.2896927_6,μηδείσ
σκέλη,urn:cite:fuSyntax:0085003tokens.2896929_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:74.4,urn:cite:fuSyntax:0085003sentences.2896929,507,n-p---na-,urn:cite:fuSyntax:0085003tokens.2896929_6,σκέλοσ
βίᾳ,urn:cite:fuSyntax:0085003tokens.2896929_7,urn:cts:greekLit:tlg0085.tlg003.fuSyn:74.7,urn:cite:fuSyntax:0085003sentences.2896929,510,n-s---fd-,urn:cite:fuSyntax:0085003tokens.2896929_6,βία1
