SURFACEFORM,TOKENURN,CTSURN,SENTENCEURN,SEQ,POS,HEAD,LEMMA
δυσλύτοις,urn:cite:fuSyntax:0085003tokens.2896885_10,urn:cts:greekLit:tlg0085.tlg003.fuSyn:19.4,urn:cite:fuSyntax:0085003sentences.2896885,126,a-p---nd-,urn:cite:fuSyntax:0085003tokens.2896885_11,δύσλυτοσ
ἀπανθρώπῳ,urn:cite:fuSyntax:0085003tokens.2896885_14,urn:cts:greekLit:tlg0085.tlg003.fuSyn:20.3,urn:cite:fuSyntax:0085003sentences.2896885,130,a-s---md-,urn:cite:fuSyntax:0085003tokens.2896885_15,ἀπάνθρωποσ
σταθευτὸς,urn:cite:fuSyntax:0085003tokens.2896885_27,urn:cts:greekLit:tlg0085.tlg003.fuSyn:22.3,urn:cite:fuSyntax:0085003sentences.2896885,143,a-s---mn-,urn:cite:fuSyntax:0085003tokens.2896885_33,σταθευτόσ
φοίβῃ,urn:cite:fuSyntax:0085003tokens.2896885_30,urn:cts:greekLit:tlg0085.tlg003.fuSyn:22.6,urn:cite:fuSyntax:0085003sentences.2896885,146,a-s---fd-,urn:cite:fuSyntax:0085003tokens.2896885_31,φοῖβοσ
ἀσμένῳ,urn:cite:fuSyntax:0085003tokens.2896886_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:23.5,urn:cite:fuSyntax:0085003sentences.2896886,152,a-s---md-,urn:cite:fuSyntax:0085003tokens.2896886_3,ἄσμενοσ
ποικιλείμων,urn:cite:fuSyntax:0085003tokens.2896886_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:24.2,urn:cite:fuSyntax:0085003sentences.2896886,156,a-s---fn-,urn:cite:fuSyntax:0085003tokens.2896886_6,ποικιλείμων1
ἑῴαν,urn:cite:fuSyntax:0085003tokens.2896886_12,urn:cts:greekLit:tlg0085.tlg003.fuSyn:25.3,urn:cite:fuSyntax:0085003sentences.2896886,163,a-s---fa-,urn:cite:fuSyntax:0085003tokens.2896886_10,ἑῷοσ
κακοῦ,urn:cite:fuSyntax:0085003tokens.2896887_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:26.6,urn:cite:fuSyntax:0085003sentences.2896887,173,a-s---ng-,urn:cite:fuSyntax:0085003tokens.2896887_5,κακόσ
τοιαῦτ᾽,urn:cite:fuSyntax:0085003tokens.2896889_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:28.1,urn:cite:fuSyntax:0085003sentences.2896889,184,a-p---na-,urn:cite:fuSyntax:0085003tokens.2896889_2,τοιοῦτοσ
φιλανθρώπου,urn:cite:fuSyntax:0085003tokens.2896889_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:28.4,urn:cite:fuSyntax:0085003sentences.2896889,187,a-s---mg-,urn:cite:fuSyntax:0085003tokens.2896889_5,φιλάνθρωποσ
ἀτερπῆ,urn:cite:fuSyntax:0085003tokens.2896891_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:31.3,urn:cite:fuSyntax:0085003sentences.2896891,204,a-s---fa-,urn:cite:fuSyntax:0085003tokens.2896891_6,ἀτερπήσ
ἄυπνος,urn:cite:fuSyntax:0085003tokens.2896891_9,urn:cts:greekLit:tlg0085.tlg003.fuSyn:32.3,urn:cite:fuSyntax:0085003sentences.2896891,210,a-s---mn-,urn:cite:fuSyntax:0085003tokens.2896891_10,ἄυπνοσ
πολλοὺς,urn:cite:fuSyntax:0085003tokens.2896892_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:33.1,urn:cite:fuSyntax:0085003sentences.2896892,216,a-p---ma-,urn:cite:fuSyntax:0085003tokens.2896892_4,πολύσ
ἀνωφελεῖς,urn:cite:fuSyntax:0085003tokens.2896892_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:33.6,urn:cite:fuSyntax:0085003sentences.2896892,221,a-p---ma-,urn:cite:fuSyntax:0085003tokens.2896892_4,ἀνωφελής
δυσπαραίτητοι,urn:cite:fuSyntax:0085003tokens.2896893_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:34.5,urn:cite:fuSyntax:0085003sentences.2896893,226,a-p---fn-,urn:cite:fuSyntax:0085003tokens.2896893_0,δυσπαραίτητοσ
ἅπας,urn:cite:fuSyntax:0085003tokens.2896894_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:35.1,urn:cite:fuSyntax:0085003sentences.2896894,229,a-s---mn-,urn:cite:fuSyntax:0085003tokens.2896894_0,ἅπασ
τραχὺς,urn:cite:fuSyntax:0085003tokens.2896894_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:35.3,urn:cite:fuSyntax:0085003sentences.2896894,231,a-s---mn-,urn:cite:fuSyntax:0085003tokens.2896894_0,τραχύσ
νέον,urn:cite:fuSyntax:0085003tokens.2896894_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:35.6,urn:cite:fuSyntax:0085003sentences.2896894,234,a-s---na-,urn:cite:fuSyntax:0085003tokens.2896894_7,νέοσ
ἔχθιστον,urn:cite:fuSyntax:0085003tokens.2896896_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:37.4,urn:cite:fuSyntax:0085003sentences.2896896,248,a-s---ma-,urn:cite:fuSyntax:0085003tokens.2896896_7,ἔχθιστοσ
σὸν,urn:cite:fuSyntax:0085003tokens.2896896_11,urn:cts:greekLit:tlg0085.tlg003.fuSyn:38.3,urn:cite:fuSyntax:0085003sentences.2896896,255,a-s---na-,urn:cite:fuSyntax:0085003tokens.2896896_14,σόσ
θνητοῖσι,urn:cite:fuSyntax:0085003tokens.2896896_12,urn:cts:greekLit:tlg0085.tlg003.fuSyn:38.4,urn:cite:fuSyntax:0085003sentences.2896896,256,a-p---md-,urn:cite:fuSyntax:0085003tokens.2896896_13,θνητόσ
συγγενές,urn:cite:fuSyntax:0085003tokens.2896897_2,urn:cts:greekLit:tlg0085.tlg003.fuSyn:39.2,urn:cite:fuSyntax:0085003sentences.2896897,261,a-s---nn-,urn:cite:fuSyntax:0085003tokens.2896897_6,συγγενήσ
δεινὸν,urn:cite:fuSyntax:0085003tokens.2896897_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:39.4,urn:cite:fuSyntax:0085003sentences.2896897,263,a-s---nn-,urn:cite:fuSyntax:0085003tokens.2896897_0,δεινόσ
οἷόν,urn:cite:fuSyntax:0085003tokens.2896899_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:41.1,urn:cite:fuSyntax:0085003sentences.2896899,275,a-s---ma-,urn:cite:fuSyntax:0085003tokens.2896899_0,οἷοσ
τοῦτο,urn:cite:fuSyntax:0085003tokens.2896900_2,urn:cts:greekLit:tlg0085.tlg003.fuSyn:41.6,urn:cite:fuSyntax:0085003sentences.2896900,280,a-s---na-,urn:cite:fuSyntax:0085003tokens.2896900_3,οὗτοσ
πλέον,urn:cite:fuSyntax:0085003tokens.2896900_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:41.8,urn:cite:fuSyntax:0085003sentences.2896900,282,a-s---nac,urn:cite:fuSyntax:0085003tokens.2896900_3,πλείων1
νηλὴς,urn:cite:fuSyntax:0085003tokens.2896901_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:42.4,urn:cite:fuSyntax:0085003sentences.2896901,287,a-s---mn-,urn:cite:fuSyntax:0085003tokens.2896901_6,νηλήσ
πλέως,urn:cite:fuSyntax:0085003tokens.2896901_8,urn:cts:greekLit:tlg0085.tlg003.fuSyn:42.8,urn:cite:fuSyntax:0085003sentences.2896901,291,a-s---mn-,urn:cite:fuSyntax:0085003tokens.2896901_6,πλέωσ
οὐδὲν,urn:cite:fuSyntax:0085003tokens.2896902_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:43.3,urn:cite:fuSyntax:0085003sentences.2896902,295,a-s---nn-,urn:cite:fuSyntax:0085003tokens.2896902_1,οὐδείσ
πολλὰ,urn:cite:fuSyntax:0085003tokens.2896904_2,urn:cts:greekLit:tlg0085.tlg003.fuSyn:45.2,urn:cite:fuSyntax:0085003sentences.2896904,309,a-p---na-,urn:cite:fuSyntax:0085003tokens.2896904_3,πολύσ
ἁπλῷ,urn:cite:fuSyntax:0085003tokens.2896906_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:46.8,urn:cite:fuSyntax:0085003sentences.2896906,320,a-s---md-,urn:cite:fuSyntax:0085003tokens.2896906_5,ἁπλόσ
οὐδὲν,urn:cite:fuSyntax:0085003tokens.2896906_9,urn:cts:greekLit:tlg0085.tlg003.fuSyn:47.4,urn:cite:fuSyntax:0085003sentences.2896906,325,a-s---na-,urn:cite:fuSyntax:0085003tokens.2896906_10,οὐδείσ
αἰτία,urn:cite:fuSyntax:0085003tokens.2896906_10,urn:cts:greekLit:tlg0085.tlg003.fuSyn:47.5,urn:cite:fuSyntax:0085003sentences.2896906,326,a-s---fn-,urn:cite:fuSyntax:0085003tokens.2896906_0,αἴτιοσ
αὐτὴν,urn:cite:fuSyntax:0085003tokens.2896907_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:48.3,urn:cite:fuSyntax:0085003sentences.2896907,331,a-s---fa-,urn:cite:fuSyntax:0085003tokens.2896907_6,αὐτόσ
ἄλλος,urn:cite:fuSyntax:0085003tokens.2896907_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:48.4,urn:cite:fuSyntax:0085003sentences.2896907,332,a-s---mn-,urn:cite:fuSyntax:0085003tokens.2896907_5,ἄλλοσ
ἅπαντ᾽,urn:cite:fuSyntax:0085003tokens.2896908_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:49.1,urn:cite:fuSyntax:0085003sentences.2896908,336,a-p---nn-,urn:cite:fuSyntax:0085003tokens.2896908_0,ἅπασ
ἐπαχθῆ,urn:cite:fuSyntax:0085003tokens.2896908_2,urn:cts:greekLit:tlg0085.tlg003.fuSyn:49.2,urn:cite:fuSyntax:0085003sentences.2896908,337,a-p---nn-,urn:cite:fuSyntax:0085003tokens.2896908_0,ἐπαχθήσ
ἐλεύθερος,urn:cite:fuSyntax:0085003tokens.2896909_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:50.1,urn:cite:fuSyntax:0085003sentences.2896909,342,a-s---mn-,urn:cite:fuSyntax:0085003tokens.2896909_4,ἐλεύθεροσ
οὔτις,urn:cite:fuSyntax:0085003tokens.2896909_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:50.3,urn:cite:fuSyntax:0085003sentences.2896909,344,a-s---mn-,urn:cite:fuSyntax:0085003tokens.2896909_4,οὔτισ
κοὐδὲν,urn:cite:fuSyntax:0085003tokens.2896910_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:51.3,urn:cite:fuSyntax:0085003sentences.2896910,351,a-s---na-,urn:cite:fuSyntax:0085003tokens.2896910_0,οὐδείσ
πρόχειρα,urn:cite:fuSyntax:0085003tokens.2896912_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:54.3,urn:cite:fuSyntax:0085003sentences.2896912,370,a-p---na-,urn:cite:fuSyntax:0085003tokens.2896912_4,πρόχειροσ
ἐγκρατεῖ,urn:cite:fuSyntax:0085003tokens.2896913_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:55.5,urn:cite:fuSyntax:0085003sentences.2896913,379,a-s---nd-,urn:cite:fuSyntax:0085003tokens.2896913_6,ἐγκρατήσ
δεινὸς,urn:cite:fuSyntax:0085003tokens.2896916_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:59.1,urn:cite:fuSyntax:0085003sentences.2896916,403,a-s---mn-,urn:cite:fuSyntax:0085003tokens.2896916_0,δεινόσ
ἀμηχάνων,urn:cite:fuSyntax:0085003tokens.2896916_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:59.5,urn:cite:fuSyntax:0085003sentences.2896916,407,a-p---ng-,urn:cite:fuSyntax:0085003tokens.2896916_4,ἀμήχανοσ
νωθέστερος,urn:cite:fuSyntax:0085003tokens.2896918_12,urn:cts:greekLit:tlg0085.tlg003.fuSyn:62.5,urn:cite:fuSyntax:0085003sentences.2896918,427,a-s---mnc,urn:cite:fuSyntax:0085003tokens.2896918_8,νωθήσ
οὐδεὶς,urn:cite:fuSyntax:0085003tokens.2896919_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:63.4,urn:cite:fuSyntax:0085003sentences.2896919,432,a-s---mn-,urn:cite:fuSyntax:0085003tokens.2896919_6,οὐδείς
ἀδαμαντίνου,urn:cite:fuSyntax:0085003tokens.2896920_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:64.1,urn:cite:fuSyntax:0085003sentences.2896920,437,a-s---mg-,urn:cite:fuSyntax:0085003tokens.2896920_3,ἀδαμάντινοσ
αὐθάδη,urn:cite:fuSyntax:0085003tokens.2896920_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:64.4,urn:cite:fuSyntax:0085003sentences.2896920,440,a-s---fa-,urn:cite:fuSyntax:0085003tokens.2896920_5,αὐθάδησ
σῶν,urn:cite:fuSyntax:0085003tokens.2896921_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:66.5,urn:cite:fuSyntax:0085003sentences.2896921,451,a-p---mg-,urn:cite:fuSyntax:0085003tokens.2896921_7,σόσ
ἐχθρῶν,urn:cite:fuSyntax:0085003tokens.2896922_8,urn:cts:greekLit:tlg0085.tlg003.fuSyn:67.8,urn:cite:fuSyntax:0085003sentences.2896922,462,a-p---mg-,urn:cite:fuSyntax:0085003tokens.2896922_9,ἐχθρόσ
δυσθέατον,urn:cite:fuSyntax:0085003tokens.2896924_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:69.3,urn:cite:fuSyntax:0085003sentences.2896924,474,a-s---na-,urn:cite:fuSyntax:0085003tokens.2896924_2,δυσθέατοσ
ἐπαξίων,urn:cite:fuSyntax:0085003tokens.2896925_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:70.5,urn:cite:fuSyntax:0085003sentences.2896925,481,a-p---ng-,urn:cite:fuSyntax:0085003tokens.2896925_2,ἐπάξιοσ
ταῦτ᾽,urn:cite:fuSyntax:0085003tokens.2896927_2,urn:cts:greekLit:tlg0085.tlg003.fuSyn:72.2,urn:cite:fuSyntax:0085003sentences.2896927,490,a-p---na-,urn:cite:fuSyntax:0085003tokens.2896927_1,οὗτοσ
μακρῷ,urn:cite:fuSyntax:0085003tokens.2896930_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:75.6,urn:cite:fuSyntax:0085003sentences.2896930,517,a-s---md-,urn:cite:fuSyntax:0085003tokens.2896930_7,μακρόσ
διατόρους,urn:cite:fuSyntax:0085003tokens.2896931_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:76.4,urn:cite:fuSyntax:0085003sentences.2896931,523,a-p---fa-,urn:cite:fuSyntax:0085003tokens.2896931_5,διάτοροσ
βαρύς,urn:cite:fuSyntax:0085003tokens.2896932_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:77.6,urn:cite:fuSyntax:0085003sentences.2896932,531,a-s---mn-,urn:cite:fuSyntax:0085003tokens.2896932_1,βαρύσ
ὅμοια,urn:cite:fuSyntax:0085003tokens.2896933_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:78.1,urn:cite:fuSyntax:0085003sentences.2896933,533,a-p---na-,urn:cite:fuSyntax:0085003tokens.2896933_5,ὁμοῖοσ
ἐμὴν,urn:cite:fuSyntax:0085003tokens.2896934_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:79.6,urn:cite:fuSyntax:0085003sentences.2896934,544,a-s---fa-,urn:cite:fuSyntax:0085003tokens.2896934_7,ἐμόσ
ἐφημέροισι,urn:cite:fuSyntax:0085003tokens.2896936_8,urn:cts:greekLit:tlg0085.tlg003.fuSyn:83.2,urn:cite:fuSyntax:0085003sentences.2896936,568,a-p---md-,urn:cite:fuSyntax:0085003tokens.2896936_9,ἐφήμεροσ
οἷοί,urn:cite:fuSyntax:0085003tokens.2896937_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:84.1,urn:cite:fuSyntax:0085003sentences.2896937,573,a-p---mn-,urn:cite:fuSyntax:0085003tokens.2896937_0,οἷοσ
θνητοὶ,urn:cite:fuSyntax:0085003tokens.2896937_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:84.3,urn:cite:fuSyntax:0085003sentences.2896937,575,a-p---fn-,urn:cite:fuSyntax:0085003tokens.2896937_0,θνητόσ
αὐτὸν,urn:cite:fuSyntax:0085003tokens.2896939_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:86.3,urn:cite:fuSyntax:0085003sentences.2896939,586,a-s---ma-,urn:cite:fuSyntax:0085003tokens.2896939_3,αὐτόσ
δῖος,urn:cite:fuSyntax:0085003tokens.2896940_2,urn:cts:greekLit:tlg0085.tlg003.fuSyn:88.2,urn:cite:fuSyntax:0085003sentences.2896940,599,a-s---mn-,urn:cite:fuSyntax:0085003tokens.2896940_3,δῖοσ
ταχύπτεροι,urn:cite:fuSyntax:0085003tokens.2896940_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:88.5,urn:cite:fuSyntax:0085003sentences.2896940,602,a-p---fv-,urn:cite:fuSyntax:0085003tokens.2896940_6,ταχύπτεροσ
ποντίων,urn:cite:fuSyntax:0085003tokens.2896940_12,urn:cts:greekLit:tlg0085.tlg003.fuSyn:89.5,urn:cite:fuSyntax:0085003sentences.2896940,609,a-p---ng-,urn:cite:fuSyntax:0085003tokens.2896940_14,πόντιοσ
ἀνήριθμον,urn:cite:fuSyntax:0085003tokens.2896940_15,urn:cts:greekLit:tlg0085.tlg003.fuSyn:90.1,urn:cite:fuSyntax:0085003sentences.2896940,612,a-s---nv-,urn:cite:fuSyntax:0085003tokens.2896940_16,ἀνήριθμοσ
οἷα,urn:cite:fuSyntax:0085003tokens.2896941_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:92.3,urn:cite:fuSyntax:0085003sentences.2896941,628,a-p---na-,urn:cite:fuSyntax:0085003tokens.2896941_6,οἷοσ
οἵαις,urn:cite:fuSyntax:0085003tokens.2896942_2,urn:cts:greekLit:tlg0085.tlg003.fuSyn:93.2,urn:cite:fuSyntax:0085003sentences.2896942,635,a-p---fd-,urn:cite:fuSyntax:0085003tokens.2896942_3,οἷοσ
μυριετῆ,urn:cite:fuSyntax:0085003tokens.2896942_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:94.3,urn:cite:fuSyntax:0085003sentences.2896942,639,a-s---ma-,urn:cite:fuSyntax:0085003tokens.2896942_7,μυριετήσ
νέος,urn:cite:fuSyntax:0085003tokens.2896943_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:96.3,urn:cite:fuSyntax:0085003sentences.2896943,645,a-s---mn-,urn:cite:fuSyntax:0085003tokens.2896943_4,νέοσ
ἀεικῆ,urn:cite:fuSyntax:0085003tokens.2896943_10,urn:cts:greekLit:tlg0085.tlg003.fuSyn:97.5,urn:cite:fuSyntax:0085003sentences.2896943,652,a-s---ma-,urn:cite:fuSyntax:0085003tokens.2896943_9,ἀεικήσ
πάντα,urn:cite:fuSyntax:0085003tokens.2896946_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:101.5,urn:cite:fuSyntax:0085003sentences.2896946,677,a-p---na-,urn:cite:fuSyntax:0085003tokens.2896946_5,πᾶσ
ποταίνιον,urn:cite:fuSyntax:0085003tokens.2896946_10,urn:cts:greekLit:tlg0085.tlg003.fuSyn:102.8,urn:cite:fuSyntax:0085003sentences.2896946,686,a-s---nn-,urn:cite:fuSyntax:0085003tokens.2896946_11,ποταίνιοσ
οὐδὲν,urn:cite:fuSyntax:0085003tokens.2896946_12,urn:cts:greekLit:tlg0085.tlg003.fuSyn:103.2,urn:cite:fuSyntax:0085003sentences.2896946,688,a-s---nn-,urn:cite:fuSyntax:0085003tokens.2896946_11,οὐδείσ
ῥᾷστα,urn:cite:fuSyntax:0085003tokens.2896947_8,urn:cts:greekLit:tlg0085.tlg003.fuSyn:104.4,urn:cite:fuSyntax:0085003sentences.2896947,698,a-p---na-,urn:cite:fuSyntax:0085003tokens.2896947_6,ῥᾴδιοσ
ἀδήριτον,urn:cite:fuSyntax:0085003tokens.2896947_16,urn:cts:greekLit:tlg0085.tlg003.fuSyn:105.5,urn:cite:fuSyntax:0085003sentences.2896947,706,a-s---nn-,urn:cite:fuSyntax:0085003tokens.2896947_15,ἀδήριτοσ
οἷόν,urn:cite:fuSyntax:0085003tokens.2896948_10,urn:cts:greekLit:tlg0085.tlg003.fuSyn:107.1,urn:cite:fuSyntax:0085003sentences.2896948,718,a-s---nn-,urn:cite:fuSyntax:0085003tokens.2896948_14,οἷοσ
θνητοῖς,urn:cite:fuSyntax:0085003tokens.2896949_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:107.7,urn:cite:fuSyntax:0085003sentences.2896949,724,a-p---md-,urn:cite:fuSyntax:0085003tokens.2896949_4,θνητόσ
τάλας,urn:cite:fuSyntax:0085003tokens.2896949_8,urn:cts:greekLit:tlg0085.tlg003.fuSyn:108.5,urn:cite:fuSyntax:0085003sentences.2896949,731,a-s---mn-,urn:cite:fuSyntax:0085003tokens.2896949_7,τάλασ
ναρθηκοπλήρωτον,urn:cite:fuSyntax:0085003tokens.2896950_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:109.1,urn:cite:fuSyntax:0085003sentences.2896950,733,a-s---fa-,urn:cite:fuSyntax:0085003tokens.2896950_5,ναρθηκοπλήρωτοσ
κλοπαίαν,urn:cite:fuSyntax:0085003tokens.2896950_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:110.2,urn:cite:fuSyntax:0085003sentences.2896950,738,a-s---fa-,urn:cite:fuSyntax:0085003tokens.2896950_5,κλοπαῖοσ
πάσης,urn:cite:fuSyntax:0085003tokens.2896950_11,urn:cts:greekLit:tlg0085.tlg003.fuSyn:111.1,urn:cite:fuSyntax:0085003sentences.2896950,743,a-s---fg-,urn:cite:fuSyntax:0085003tokens.2896950_10,πᾶσ
μέγας,urn:cite:fuSyntax:0085003tokens.2896950_15,urn:cts:greekLit:tlg0085.tlg003.fuSyn:111.5,urn:cite:fuSyntax:0085003sentences.2896950,747,a-s---mn-,urn:cite:fuSyntax:0085003tokens.2896950_16,μέγασ
ὑπαιθρίοις,urn:cite:fuSyntax:0085003tokens.2896951_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:113.1,urn:cite:fuSyntax:0085003sentences.2896951,754,a-p---md-,urn:cite:fuSyntax:0085003tokens.2896951_6,ὑπαίθριοσ
τίς,urn:cite:fuSyntax:0085003tokens.2896953_1,urn:cts:greekLit:tlg0085.tlg003.fuSyn:115.1,urn:cite:fuSyntax:0085003sentences.2896953,763,a-s---fn-,urn:cite:fuSyntax:0085003tokens.2896953_2,τίς
τίς,urn:cite:fuSyntax:0085003tokens.2896953_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:115.4,urn:cite:fuSyntax:0085003sentences.2896953,766,a-s---fn-,urn:cite:fuSyntax:0085003tokens.2896953_5,τίς
ἀφεγγής,urn:cite:fuSyntax:0085003tokens.2896953_8,urn:cts:greekLit:tlg0085.tlg003.fuSyn:115.8,urn:cite:fuSyntax:0085003sentences.2896953,770,a-s---fn-,urn:cite:fuSyntax:0085003tokens.2896953_3,ἀφεγγήσ
