SEQ	TOKENURN	POS	HEAD	LEMMA
48	urn:cite:fuSyntax:0085003tokens.2896879_8	n-s---na-	urn:cite:fuSyntax:0085003tokens.2896879_5	σέλασ
49	urn:cite:fuSyntax:0085003tokens.2896879_9	u--------	urn:cite:fuSyntax:0085003tokens.2896879_5	ξομμα1
50	urn:cite:fuSyntax:0085003tokens.2896879_10	a-p---md-	urn:cite:fuSyntax:0085003tokens.2896879_12	θνητόσ
51	urn:cite:fuSyntax:0085003tokens.2896879_11	t-sapamn-	urn:cite:fuSyntax:0085003tokens.2896879_12	κλέπτω1
52	urn:cite:fuSyntax:0085003tokens.2896879_12	v3saia---	urn:cite:fuSyntax:0085003tokens.2896879_0	ὀπάζω1
53	urn:cite:fuSyntax:0085003tokens.2896879_13	u--------	urn:cite:fuSyntax:0085003tokens.2896879_0	περιοδ1
54	urn:cite:fuSyntax:0085003tokens.2896880_1	p-s---fg-	urn:cite:fuSyntax:0085003tokens.2896880_3	τοιόσδε1
55	urn:cite:fuSyntax:0085003tokens.2896880_2	g--------	urn:cite:fuSyntax:0085003tokens.2896880_1	τοι1
56	urn:cite:fuSyntax:0085003tokens.2896880_3	n-s---fg-	urn:cite:fuSyntax:0085003tokens.2896880_8	ἁμαρτία1
57	urn:cite:fuSyntax:0085003tokens.2896880_4	p-s---ma-	urn:cite:fuSyntax:0085003tokens.2896880_7	σφεῖς
58	urn:cite:fuSyntax:0085003tokens.2896880_5	v3spia---	urn:cite:fuSyntax:0085003tokens.2896880_0	δέω2
59	urn:cite:fuSyntax:0085003tokens.2896880_6	n-p---md-	urn:cite:fuSyntax:0085003tokens.2896880_7	θεόσ
60	urn:cite:fuSyntax:0085003tokens.2896880_7	v--ana---	urn:cite:fuSyntax:0085003tokens.2896880_5	δίδωμι1
61	urn:cite:fuSyntax:0085003tokens.2896880_8	n-s---fa-	urn:cite:fuSyntax:0085003tokens.2896880_7	δίκη1
62	urn:cite:fuSyntax:0085003tokens.2896880_9	u--------	urn:cite:fuSyntax:0085003tokens.2896880_10	ξομμα1
63	urn:cite:fuSyntax:0085003tokens.2896880_10	c--------	urn:cite:fuSyntax:0085003tokens.2896880_5	ὡσ
64	urn:cite:fuSyntax:0085003tokens.2896880_11	g--------	urn:cite:fuSyntax:0085003tokens.2896880_12	ἄν1
65	urn:cite:fuSyntax:0085003tokens.2896880_12	v3sasp---	urn:cite:fuSyntax:0085003tokens.2896880_10	διδάσκω1
66	urn:cite:fuSyntax:0085003tokens.2896880_13	l-s---fa-	urn:cite:fuSyntax:0085003tokens.2896880_15	ὁ1
67	urn:cite:fuSyntax:0085003tokens.2896880_14	n-s---mg-	urn:cite:fuSyntax:0085003tokens.2896880_15	Ζεύσ
68	urn:cite:fuSyntax:0085003tokens.2896880_15	n-s---fa-	urn:cite:fuSyntax:0085003tokens.2896880_16	τυραννίσ
69	urn:cite:fuSyntax:0085003tokens.2896880_16	v--pna---	urn:cite:fuSyntax:0085003tokens.2896880_19	στέργω1
70	urn:cite:fuSyntax:0085003tokens.2896880_17	u--------	urn:cite:fuSyntax:0085003tokens.2896880_19	ξομμα1
71	urn:cite:fuSyntax:0085003tokens.2896880_18	a-s---mg-	urn:cite:fuSyntax:0085003tokens.2896880_21	φιλάνθρωποσ
72	urn:cite:fuSyntax:0085003tokens.2896880_19	g--------	urn:cite:fuSyntax:0085003tokens.2896880_12	δέ1
73	urn:cite:fuSyntax:0085003tokens.2896880_20	v--pne---	urn:cite:fuSyntax:0085003tokens.2896880_19	παύω1
74	urn:cite:fuSyntax:0085003tokens.2896880_21	n-s---mg-	urn:cite:fuSyntax:0085003tokens.2896880_20	τρόποσ
75	urn:cite:fuSyntax:0085003tokens.2896880_22	u--------	urn:cite:fuSyntax:0085003tokens.2896880_0	περιοδ1
76	urn:cite:fuSyntax:0085003tokens.2896881_1	n-s---nv-	urn:cite:fuSyntax:0085003tokens.2896881_3	κράτοσ
77	urn:cite:fuSyntax:0085003tokens.2896881_2	n-s---fv-	urn:cite:fuSyntax:0085003tokens.2896881_3	βία1
78	urn:cite:fuSyntax:0085003tokens.2896881_3	g--------	urn:cite:fuSyntax:0085003tokens.2896881_12	τε1
79	urn:cite:fuSyntax:0085003tokens.2896881_4	u--------	urn:cite:fuSyntax:0085003tokens.2896881_3	ξομμα1
80	urn:cite:fuSyntax:0085003tokens.2896881_5	p-d---mg-	urn:cite:fuSyntax:0085003tokens.2896881_9	σύ
81	urn:cite:fuSyntax:0085003tokens.2896881_6	g--------	urn:cite:fuSyntax:0085003tokens.2896881_12	μέν1
82	urn:cite:fuSyntax:0085003tokens.2896881_7	n-s---fn-	urn:cite:fuSyntax:0085003tokens.2896881_9	ἐντολή1
83	urn:cite:fuSyntax:0085003tokens.2896881_8	n-s---mg-	urn:cite:fuSyntax:0085003tokens.2896881_7	Ζεύσ
84	urn:cite:fuSyntax:0085003tokens.2896881_9	v3spia---	urn:cite:fuSyntax:0085003tokens.2896881_12	ἔχω1
85	urn:cite:fuSyntax:0085003tokens.2896881_10	n-s---na-	urn:cite:fuSyntax:0085003tokens.2896881_9	τέλοσ
86	urn:cite:fuSyntax:0085003tokens.2896881_11	g--------	urn:cite:fuSyntax:0085003tokens.2896881_10	δή1
87	urn:cite:fuSyntax:0085003tokens.2896881_12	a-s---na-	urn:cite:fuSyntax:0085003tokens.2896881_0	οὐδείσ
88	urn:cite:fuSyntax:0085003tokens.2896881_13	d--------	urn:cite:fuSyntax:0085003tokens.2896881_12	ἐμποδών1
89	urn:cite:fuSyntax:0085003tokens.2896881_14	d--------	urn:cite:fuSyntax:0085003tokens.2896881_12	ἔτι1
90	urn:cite:fuSyntax:0085003tokens.2896881_15	u--------	urn:cite:fuSyntax:0085003tokens.2896881_0	πυνξ1
91	urn:cite:fuSyntax:0085003tokens.2896882_1	p-s---mn-	urn:cite:fuSyntax:0085003tokens.2896882_4	ἐγώ1
92	urn:cite:fuSyntax:0085003tokens.2896882_2	g--------	urn:cite:fuSyntax:0085003tokens.2896882_4	δέ1
93	urn:cite:fuSyntax:0085003tokens.2896882_3	a-s---mn-	urn:cite:fuSyntax:0085003tokens.2896882_4	ἄτολμοσ
94	urn:cite:fuSyntax:0085003tokens.2896882_4	v1spia---	urn:cite:fuSyntax:0085003tokens.2896882_0	εἰμί1
95	urn:cite:fuSyntax:0085003tokens.2896882_5	a-s---ma-	urn:cite:fuSyntax:0085003tokens.2896882_6	συγγενήσ
96	urn:cite:fuSyntax:0085003tokens.2896882_6	n-s---ma-	urn:cite:fuSyntax:0085003tokens.2896882_7	θεόσ
97	urn:cite:fuSyntax:0085003tokens.2896882_7	v--ana---	urn:cite:fuSyntax:0085003tokens.2896882_3	δέω1
98	urn:cite:fuSyntax:0085003tokens.2896882_8	n-s---fd-	urn:cite:fuSyntax:0085003tokens.2896882_7	βία1
99	urn:cite:fuSyntax:0085003tokens.2896882_9	n-s---fd-	urn:cite:fuSyntax:0085003tokens.2896882_10	φάραγξ1
100	urn:cite:fuSyntax:0085003tokens.2896882_10	r--------	urn:cite:fuSyntax:0085003tokens.2896882_7	πρόσ
101	urn:cite:fuSyntax:0085003tokens.2896882_11	a-s---fd-	urn:cite:fuSyntax:0085003tokens.2896882_9	δυσχείμεροσ
102	urn:cite:fuSyntax:0085003tokens.2896882_12	u--------	urn:cite:fuSyntax:0085003tokens.2896882_0	περιοδ1
103	urn:cite:fuSyntax:0085003tokens.2896883_1	d--------	urn:cite:fuSyntax:0085003tokens.2896883_0	πάντωσ
104	urn:cite:fuSyntax:0085003tokens.2896883_2	g--------	urn:cite:fuSyntax:0085003tokens.2896883_0	δέ1
105	urn:cite:fuSyntax:0085003tokens.2896883_3	n-s---fn-	urn:cite:fuSyntax:0085003tokens.2896883_0	ἀνάγκη1
106	urn:cite:fuSyntax:0085003tokens.2896883_4	p-p---ng-	urn:cite:fuSyntax:0085003tokens.2896883_6	ὅδε1
107	urn:cite:fuSyntax:0085003tokens.2896883_5	p-s---md-	urn:cite:fuSyntax:0085003tokens.2896883_0	ἐγώ1
108	urn:cite:fuSyntax:0085003tokens.2896883_6	n-s---fa-	urn:cite:fuSyntax:0085003tokens.2896883_7	τόλμα1
109	urn:cite:fuSyntax:0085003tokens.2896883_7	v--ana---	urn:cite:fuSyntax:0085003tokens.2896883_0	σχεθεῖν
110	urn:cite:fuSyntax:0085003tokens.2896883_8	u--------	urn:cite:fuSyntax:0085003tokens.2896883_0	πυνξ1
111	urn:cite:fuSyntax:0085003tokens.2896884_1	v--pna---	urn:cite:fuSyntax:0085003tokens.2896884_0	ἐξωριάζω1
112	urn:cite:fuSyntax:0085003tokens.2896884_2	g--------	urn:cite:fuSyntax:0085003tokens.2896884_0	γάρ1
113	urn:cite:fuSyntax:0085003tokens.2896884_3	n-s---mg-	urn:cite:fuSyntax:0085003tokens.2896884_4	πατήρ1
114	urn:cite:fuSyntax:0085003tokens.2896884_4	n-p---ma-	urn:cite:fuSyntax:0085003tokens.2896884_1	λόγοσ
115	urn:cite:fuSyntax:0085003tokens.2896884_5	a-s---nn-	urn:cite:fuSyntax:0085003tokens.2896884_0	βαρύσ
116	urn:cite:fuSyntax:0085003tokens.2896884_6	u--------	urn:cite:fuSyntax:0085003tokens.2896884_0	περιοδ1
117	urn:cite:fuSyntax:0085003tokens.2896885_1	l-s---fg-	urn:cite:fuSyntax:0085003tokens.2896885_3	ὁ1
118	urn:cite:fuSyntax:0085003tokens.2896885_2	a-s---fg-	urn:cite:fuSyntax:0085003tokens.2896885_3	ὀρθόβουλοσ
119	urn:cite:fuSyntax:0085003tokens.2896885_3	n-s---fg-	urn:cite:fuSyntax:0085003tokens.2896885_5	θέμισ
120	urn:cite:fuSyntax:0085003tokens.2896885_4	n-s---mv-	urn:cite:fuSyntax:0085003tokens.2896885_5	αἰπυμήτησ
121	urn:cite:fuSyntax:0085003tokens.2896885_5	n-s---mv-	urn:cite:fuSyntax:0085003tokens.2896885_12	παῖσ
122	urn:cite:fuSyntax:0085003tokens.2896885_6	u--------	urn:cite:fuSyntax:0085003tokens.2896885_5	ξομμα1
123	urn:cite:fuSyntax:0085003tokens.2896885_7	n-s---ma-	urn:cite:fuSyntax:0085003tokens.2896885_8	ἄκων1
124	urn:cite:fuSyntax:0085003tokens.2896885_8	p-s---ma-	urn:cite:fuSyntax:0085003tokens.2896885_12	σύ1
125	urn:cite:fuSyntax:0085003tokens.2896885_9	n-s---mn-	urn:cite:fuSyntax:0085003tokens.2896885_12	ἄκων1
126	urn:cite:fuSyntax:0085003tokens.2896885_10	a-p---nd-	urn:cite:fuSyntax:0085003tokens.2896885_11	δύσλυτοσ
127	urn:cite:fuSyntax:0085003tokens.2896885_11	n-p---nd-	urn:cite:fuSyntax:0085003tokens.2896885_12	χάλκευμα1
128	urn:cite:fuSyntax:0085003tokens.2896885_12	v1sfia---	urn:cite:fuSyntax:0085003tokens.2896885_0	προσπασσαλεύω1
129	urn:cite:fuSyntax:0085003tokens.2896885_13	p-s---md-	urn:cite:fuSyntax:0085003tokens.2896885_15	ὅδε1
130	urn:cite:fuSyntax:0085003tokens.2896885_14	a-s---md-	urn:cite:fuSyntax:0085003tokens.2896885_15	ἀπάνθρωποσ
131	urn:cite:fuSyntax:0085003tokens.2896885_15	n-s---md-	urn:cite:fuSyntax:0085003tokens.2896885_12	πᾶγοσ
132	urn:cite:fuSyntax:0085003tokens.2896885_16	c--------	urn:cite:fuSyntax:0085003tokens.2896885_28	ἵνα1
133	urn:cite:fuSyntax:0085003tokens.2896885_17	d--------	urn:cite:fuSyntax:0085003tokens.2896885_19	οὔτε1
134	urn:cite:fuSyntax:0085003tokens.2896885_18	g--------	urn:cite:fuSyntax:0085003tokens.2896885_21	τε1
135	urn:cite:fuSyntax:0085003tokens.2896885_19	n-s---fa-	urn:cite:fuSyntax:0085003tokens.2896885_21	φωνή1
136	urn:cite:fuSyntax:0085003tokens.2896885_20	d--------	urn:cite:fuSyntax:0085003tokens.2896885_23	οὔτε1
137	urn:cite:fuSyntax:0085003tokens.2896885_21	g--------	urn:cite:fuSyntax:0085003tokens.2896885_25	τε1
138	urn:cite:fuSyntax:0085003tokens.2896885_22	p-s---mg-	urn:cite:fuSyntax:0085003tokens.2896885_21	τις
139	urn:cite:fuSyntax:0085003tokens.2896885_23	n-s---fa-	urn:cite:fuSyntax:0085003tokens.2896885_21	μορφή1
140	urn:cite:fuSyntax:0085003tokens.2896885_24	n-p---mg-	urn:cite:fuSyntax:0085003tokens.2896885_22	βροτόσ
141	urn:cite:fuSyntax:0085003tokens.2896885_25	v2sfim---	urn:cite:fuSyntax:0085003tokens.2896885_28	ὁράω1
142	urn:cite:fuSyntax:0085003tokens.2896885_26	u--------	urn:cite:fuSyntax:0085003tokens.2896885_28	ξομμα1
143	urn:cite:fuSyntax:0085003tokens.2896885_27	a-s---mn-	urn:cite:fuSyntax:0085003tokens.2896885_33	σταθευτόσ
144	urn:cite:fuSyntax:0085003tokens.2896885_28	g--------	urn:cite:fuSyntax:0085003tokens.2896885_15	δέ1
145	urn:cite:fuSyntax:0085003tokens.2896885_29	n-s---mg-	urn:cite:fuSyntax:0085003tokens.2896885_31	ἥλιοσ
146	urn:cite:fuSyntax:0085003tokens.2896885_30	a-s---fd-	urn:cite:fuSyntax:0085003tokens.2896885_31	φοῖβοσ
147	urn:cite:fuSyntax:0085003tokens.2896885_31	n-s---fd-	urn:cite:fuSyntax:0085003tokens.2896885_33	φλόξ
148	urn:cite:fuSyntax:0085003tokens.2896885_32	n-s---fg-	urn:cite:fuSyntax:0085003tokens.2896885_34	χροιά1
149	urn:cite:fuSyntax:0085003tokens.2896885_33	v2sfia---	urn:cite:fuSyntax:0085003tokens.2896885_28	ἀμείβω1
150	urn:cite:fuSyntax:0085003tokens.2896885_34	n-s---na-	urn:cite:fuSyntax:0085003tokens.2896885_33	ἄνθοσ
151	urn:cite:fuSyntax:0085003tokens.2896885_35	u--------	urn:cite:fuSyntax:0085003tokens.2896885_0	περιοδ1
152	urn:cite:fuSyntax:0085003tokens.2896886_1	a-s---md-	urn:cite:fuSyntax:0085003tokens.2896886_3	ἄσμενοσ
153	urn:cite:fuSyntax:0085003tokens.2896886_2	g--------	urn:cite:fuSyntax:0085003tokens.2896886_11	δέ1
154	urn:cite:fuSyntax:0085003tokens.2896886_3	p-s---md-	urn:cite:fuSyntax:0085003tokens.2896886_11	σύ
155	urn:cite:fuSyntax:0085003tokens.2896886_4	l-s---fn-	urn:cite:fuSyntax:0085003tokens.2896886_6	ὁ1
156	urn:cite:fuSyntax:0085003tokens.2896886_5	a-s---fn-	urn:cite:fuSyntax:0085003tokens.2896886_6	ποικιλείμων1
157	urn:cite:fuSyntax:0085003tokens.2896886_6	n-s---fn-	urn:cite:fuSyntax:0085003tokens.2896886_7	νύξ1
158	urn:cite:fuSyntax:0085003tokens.2896886_7	v3sfia---	urn:cite:fuSyntax:0085003tokens.2896886_11	ἀποκρύπτω1
159	urn:cite:fuSyntax:0085003tokens.2896886_8	n-s---na-	urn:cite:fuSyntax:0085003tokens.2896886_7	φάοσ
160	urn:cite:fuSyntax:0085003tokens.2896886_9	u--------	urn:cite:fuSyntax:0085003tokens.2896886_11	ξομμα1
161	urn:cite:fuSyntax:0085003tokens.2896886_10	n-s---fa-	urn:cite:fuSyntax:0085003tokens.2896886_14	πάχνη1
162	urn:cite:fuSyntax:0085003tokens.2896886_11	g--------	urn:cite:fuSyntax:0085003tokens.2896886_0	τε1
163	urn:cite:fuSyntax:0085003tokens.2896886_12	a-s---fa-	urn:cite:fuSyntax:0085003tokens.2896886_10	ἑῷοσ
164	urn:cite:fuSyntax:0085003tokens.2896886_13	n-s---mn-	urn:cite:fuSyntax:0085003tokens.2896886_14	ἥλιοσ
165	urn:cite:fuSyntax:0085003tokens.2896886_14	v3sfia---	urn:cite:fuSyntax:0085003tokens.2896886_11	σκεδάννυμι1
166	urn:cite:fuSyntax:0085003tokens.2896886_15	d--------	urn:cite:fuSyntax:0085003tokens.2896886_14	πάλιν1
167	urn:cite:fuSyntax:0085003tokens.2896886_16	u--------	urn:cite:fuSyntax:0085003tokens.2896886_0	πυνξ1
168	urn:cite:fuSyntax:0085003tokens.2896887_1	d--------	urn:cite:fuSyntax:0085003tokens.2896887_4	ἀεί1
169	urn:cite:fuSyntax:0085003tokens.2896887_2	g--------	urn:cite:fuSyntax:0085003tokens.2896887_7	δέ1
170	urn:cite:fuSyntax:0085003tokens.2896887_3	l-s---ng-	urn:cite:fuSyntax:0085003tokens.2896887_6	ὁ1
171	urn:cite:fuSyntax:0085003tokens.2896887_4	t-sppang-	urn:cite:fuSyntax:0085003tokens.2896887_6	πάρειμι1
172	urn:cite:fuSyntax:0085003tokens.2896887_5	n-s---fn-	urn:cite:fuSyntax:0085003tokens.2896887_7	ἀχθηδών1
173	urn:cite:fuSyntax:0085003tokens.2896887_6	a-s---ng-	urn:cite:fuSyntax:0085003tokens.2896887_5	κακόσ
174	urn:cite:fuSyntax:0085003tokens.2896887_7	v3sfia---	urn:cite:fuSyntax:0085003tokens.2896887_0	τρύω1
175	urn:cite:fuSyntax:0085003tokens.2896887_8	p-s---ma-	urn:cite:fuSyntax:0085003tokens.2896887_7	σύ1
176	urn:cite:fuSyntax:0085003tokens.2896887_9	u--------	urn:cite:fuSyntax:0085003tokens.2896887_0	πυνξ1
177	urn:cite:fuSyntax:0085003tokens.2896888_1	l-s---mn-	urn:cite:fuSyntax:0085003tokens.2896888_2	ὁ1
178	urn:cite:fuSyntax:0085003tokens.2896888_2	t-sfpamn-	urn:cite:fuSyntax:0085003tokens.2896888_5	λωφάω1
179	urn:cite:fuSyntax:0085003tokens.2896888_3	g--------	urn:cite:fuSyntax:0085003tokens.2896888_5	γάρ1
180	urn:cite:fuSyntax:0085003tokens.2896888_4	d--------	urn:cite:fuSyntax:0085003tokens.2896888_5	οὐ1
181	urn:cite:fuSyntax:0085003tokens.2896888_5	v3sria---	urn:cite:fuSyntax:0085003tokens.2896888_0	φύω1
182	urn:cite:fuSyntax:0085003tokens.2896888_6	g--------	urn:cite:fuSyntax:0085003tokens.2896888_4	πω1
183	urn:cite:fuSyntax:0085003tokens.2896888_7	u--------	urn:cite:fuSyntax:0085003tokens.2896888_0	περιοδ1
184	urn:cite:fuSyntax:0085003tokens.2896889_1	a-p---na-	urn:cite:fuSyntax:0085003tokens.2896889_2	τοιοῦτοσ
185	urn:cite:fuSyntax:0085003tokens.2896889_2	v2saim---	urn:cite:fuSyntax:0085003tokens.2896889_0	ἐπαυρέω1
186	urn:cite:fuSyntax:0085003tokens.2896889_3	l-s---mg-	urn:cite:fuSyntax:0085003tokens.2896889_5	ὁ1
187	urn:cite:fuSyntax:0085003tokens.2896889_4	a-s---mg-	urn:cite:fuSyntax:0085003tokens.2896889_5	φιλάνθρωποσ
188	urn:cite:fuSyntax:0085003tokens.2896889_5	n-s---mg-	urn:cite:fuSyntax:0085003tokens.2896889_2	τρόποσ
189	urn:cite:fuSyntax:0085003tokens.2896889_6	u--------	urn:cite:fuSyntax:0085003tokens.2896889_0	περιοδ1
190	urn:cite:fuSyntax:0085003tokens.2896890_1	n-s---mn-	urn:cite:fuSyntax:0085003tokens.2896890_9	θεόσ
191	urn:cite:fuSyntax:0085003tokens.2896890_2	n-p---mg-	urn:cite:fuSyntax:0085003tokens.2896890_6	θεόσ
192	urn:cite:fuSyntax:0085003tokens.2896890_3	g--------	urn:cite:fuSyntax:0085003tokens.2896890_9	γάρ1
193	urn:cite:fuSyntax:0085003tokens.2896890_4	d--------	urn:cite:fuSyntax:0085003tokens.2896890_5	οὐ1
194	urn:cite:fuSyntax:0085003tokens.2896890_5	t-sppamn-	urn:cite:fuSyntax:0085003tokens.2896890_9	ὑποπτήσσω1
195	urn:cite:fuSyntax:0085003tokens.2896890_6	n-s---ma-	urn:cite:fuSyntax:0085003tokens.2896890_5	χόλοσ
196	urn:cite:fuSyntax:0085003tokens.2896890_7	n-p---md-	urn:cite:fuSyntax:0085003tokens.2896890_9	βροτόσ
197	urn:cite:fuSyntax:0085003tokens.2896890_8	n-p---fa-	urn:cite:fuSyntax:0085003tokens.2896890_9	τιμή1
198	urn:cite:fuSyntax:0085003tokens.2896890_9	v2saia---	urn:cite:fuSyntax:0085003tokens.2896890_0	ὀπάζω1
199	urn:cite:fuSyntax:0085003tokens.2896890_10	r--------	urn:cite:fuSyntax:0085003tokens.2896890_9	πέρα
200	urn:cite:fuSyntax:0085003tokens.2896890_11	n-s---fg-	urn:cite:fuSyntax:0085003tokens.2896890_10	δίκη1
201	urn:cite:fuSyntax:0085003tokens.2896890_12	u--------	urn:cite:fuSyntax:0085003tokens.2896890_0	περιοδ1
202	urn:cite:fuSyntax:0085003tokens.2896891_1	r--------	urn:cite:fuSyntax:0085003tokens.2896891_7	ἀντί1
203	urn:cite:fuSyntax:0085003tokens.2896891_2	p-p---ng-	urn:cite:fuSyntax:0085003tokens.2896891_1	ὅσ
204	urn:cite:fuSyntax:0085003tokens.2896891_3	a-s---fa-	urn:cite:fuSyntax:0085003tokens.2896891_6	ἀτερπήσ
205	urn:cite:fuSyntax:0085003tokens.2896891_4	p-s---fa-	urn:cite:fuSyntax:0085003tokens.2896891_6	ὅδε1
206	urn:cite:fuSyntax:0085003tokens.2896891_5	v2sfia---	urn:cite:fuSyntax:0085003tokens.2896891_0	φρουρέω1
